run_id,protocol,n,seed,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,consensus_msgs_per_acu,total_msgs_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K
casper-ffg-n4-nonuniform,casper-ffg,4,42,c6082f3b-dirty,20.0,5000.000001000,5000.000001000,1.600000,5.156250,5.156250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,42,c6082f3b-dirty,20.0,5000.000001000,5000.000001000,1.600000,5.156250,5.156250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,42,c6082f3b-dirty,20.0,5000.000001000,5000.000001000,2.800000,8.785714,8.785714,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,42,c6082f3b-dirty,20.0,5000.000001000,5000.000001000,4.000000,12.262500,12.262500,1.000000,0.000000,nan,nan,nan,nan,nan
pbft-n4,pbft,4,42,c6082f3b-dirty,nan,1000.000003000,1000.000003000,0.003996,6.750000,6.750000,1.000000,0.000000,nan,nan,nan,nan,nan
pbft-n7,pbft,7,42,c6082f3b-dirty,nan,1000.000003000,1000.000003000,0.006993,12.857143,12.857143,1.000000,0.000000,nan,nan,nan,nan,nan
pbft-n10,pbft,10,42,c6082f3b-dirty,nan,1000.000003000,1000.000003000,0.009990,18.900000,18.900000,1.000000,0.000000,nan,nan,nan,nan,nan
snowman-n7,snowman,7,42,c6082f3b-dirty,20.0,1000.000046000,1000.000046000,6.650000,180.857143,180.857143,1.000000,0.000000,6,4,5,15,0.833333
snowman-n10,snowman,10,42,c6082f3b-dirty,20.0,1000.000046000,1000.000046000,9.500000,270.900000,270.900000,1.000000,0.000000,9,5,8,15,0.888889
